title,image_id,source_url,cloudinary_secure_url,cloudinary_public_id,status,error
Heart To Heart (Praetorian Building),wyizrirhxnpv960t,https://maphub.net/media/images/w/yi/wyizrirhxnpv960t/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759482/public-art-map/wyizrirhxnpv960t.jpg,public-art-map/wyizrirhxnpv960t,ok,
Hearts Unfolding,yqfb0jmz6ecskaux,https://maphub.net/media/images/y/qf/yqfb0jmz6ecskaux/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759482/public-art-map/yqfb0jmz6ecskaux.jpg,public-art-map/yqfb0jmz6ecskaux,ok,
Hometown USA,zjjijf5d1pgonvqf,https://maphub.net/media/images/z/jj/zjjijf5d1pgonvqf/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759483/public-art-map/zjjijf5d1pgonvqf.jpg,public-art-map/zjjijf5d1pgonvqf,ok,
Images Past - South Waco,jdy5z6lculi8cuck,https://maphub.net/media/images/j/dy/jdy5z6lculi8cuck/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759483/public-art-map/jdy5z6lculi8cuck.jpg,public-art-map/jdy5z6lculi8cuck,ok,
It takes a Village,1kh2ioeaowzfz7hm,https://maphub.net/media/images/1/kh/1kh2ioeaowzfz7hm/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759484/public-art-map/1kh2ioeaowzfz7hm.jpg,public-art-map/1kh2ioeaowzfz7hm,ok,
Kate Friend Animal Fountain,llm5viqbv0ycqlol,https://maphub.net/media/images/l/lm/llm5viqbv0ycqlol/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759484/public-art-map/llm5viqbv0ycqlol.jpg,public-art-map/llm5viqbv0ycqlol,ok,
Keep Going,dpthxgyovhsqmera,https://maphub.net/media/images/d/pt/dpthxgyovhsqmera/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759485/public-art-map/dpthxgyovhsqmera.jpg,public-art-map/dpthxgyovhsqmera,ok,
Komodo Dragon,gqh242t7qizbxoal,https://maphub.net/media/images/g/qh/gqh242t7qizbxoal/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759484/public-art-map/gqh242t7qizbxoal.jpg,public-art-map/gqh242t7qizbxoal,ok,
Lamp of the Body,6qsgbvbabtiaz76t,https://maphub.net/media/images/6/qs/6qsgbvbabtiaz76t/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759485/public-art-map/6qsgbvbabtiaz76t.jpg,public-art-map/6qsgbvbabtiaz76t,ok,
Lioness with Cubs,szw4iwxvsh2yigv9,https://maphub.net/media/images/s/zw/szw4iwxvsh2yigv9/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759485/public-art-map/szw4iwxvsh2yigv9.jpg,public-art-map/szw4iwxvsh2yigv9,ok,
